"Gene.A.Number","Gene.B.Number","Gene.C.Number","bresub","Gene.A.Name","Gene.B.Name","Gene.C.Name","Delta-Gene.A","Delta-Gene.B","Delta-Gene.C","Delta-Pair.AB","Delta-Pair.AC","Delta-Pair.BC","Min.Delta"
33,231,241,0.0463,"Slc30a4","Nfkb1","Pde4b",0.1249,0.4879,0.0676,0.0498,-0.0305,0.0498,-0.0305
33,232,241,0.015,"Slc30a4","Wls","Pde4b",0.1562,0.2685,0.0989,0.0498,0.000800000000000002,0.0498,0.000800000000000002
33,234,241,0.0426,"Slc30a4","Map3k7","Pde4b",0.1286,0.3567,0.0713,0.0498,-0.0268,0.0498,-0.0268
33,236,241,0.0427,"Slc30a4","Xpa","Pde4b",0.1285,0.4639,0.0712,0.0498,-0.0269,0.0498,-0.0269
33,237,241,0.0248,"Slc30a4","Ptprd","Pde4b",0.1464,0.4545,0.0891,0.0498,-0.009,0.0498,-0.009
33,238,241,0.0445,"Slc30a4","Slc44a1","Pde4b",0.1267,0.3536,0.0694,0.0498,-0.0287,0.0498,-0.0287
33,239,241,0.0467,"Slc30a4","Plin2","Pde4b",0.1245,0.2,0.0672,0.0498,-0.0309,0.0498,-0.0309
33,240,241,0.0104,"Slc30a4","Slc35d1","Pde4b",0.1608,0.2739,0.1035,0.0498,0.0054,0.0498,0.0054
33,241,242,0.0257,"Slc30a4","Pde4b","Jak1",0.1455,0.0882,0.4479,-0.0099,0.0498,0.0498,-0.0099
33,241,243,0.0215,"Slc30a4","Pde4b","Plaa",0.1497,0.0924,0.3642,-0.0057,0.0498,0.0498,-0.0057
33,241,244,0.0178,"Slc30a4","Pde4b","Scp2",0.1534,0.0961,0.5974,-0.002,0.0498,0.0498,-0.002
33,241,245,0.0383,"Slc30a4","Pde4b","Slc2a1",0.1329,0.0756,0.2003,-0.0225,0.0498,0.0498,-0.0225
33,241,246,0.0202,"Slc30a4","Pde4b","Gnl2",0.151,0.0937,0.3957,-0.0044,0.0498,0.0498,-0.0044
33,241,248,0.0141,"Slc30a4","Pde4b","Bst1",0.1571,0.0998,0.309,0.0017,0.0498,0.0498,0.0017
33,241,252,0.0316,"Slc30a4","Pde4b","Slc34a2",0.1396,0.0823,0.4053,-0.0158,0.0498,0.0498,-0.0158
33,241,253,0.0096,"Slc30a4","Pde4b","Slc30a9",0.1616,0.1043,0.4013,0.0062,0.0498,0.0498,0.0062
33,241,254,0.0463,"Slc30a4","Pde4b","Rest",0.1249,0.0676,0.475,-0.0305,0.0498,0.0498,-0.0305
33,241,255,0.0236,"Slc30a4","Pde4b","Fgf5",0.1476,0.0903,0.2881,-0.0078,0.0498,0.0498,-0.0078
33,241,256,0.0419,"Slc30a4","Pde4b","P2rx4",0.1293,0.072,0.3917,-0.0261,0.0498,0.0498,-0.0261
33,241,257,0.0375,"Slc30a4","Pde4b","Anxa3",0.1337,0.0764,0.3924,-0.0217,0.0498,0.0498,-0.0217
33,241,258,0.0216,"Slc30a4","Pde4b","Ep400",0.1496,0.0923,0.429,-0.0058,0.0498,0.0498,-0.0058
33,241,259,0.0314,"Slc30a4","Pde4b","Foxp2",0.1398,0.0825,0.3884,-0.0156,0.0498,0.0498,-0.0156
33,241,262,0.0457,"Slc30a4","Pde4b","Cdk8",0.1255,0.0682,0.3895,-0.0299,0.0498,0.0498,-0.0299
33,241,263,0.0267,"Slc30a4","Pde4b","Cald1",0.1445,0.0872,0.2919,-0.0109,0.0498,0.0498,-0.0109
33,241,265,0.0126,"Slc30a4","Pde4b","Slc6a6",0.1586,0.1013,0.4151,0.0032,0.0498,0.0498,0.0032
